ticker,timeframe,strategy,signal_type,signal_date,current_price,signal_price,score,screen_type,price,volume,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
GOOGL,weekly,,,2025-09-01,0.0000,0.0000,100.0000,drwish,235.0000,249109600,180.8900,235.7600,30.3300,12,True,15,2025-09-16,DrWish GLB
AFRM,weekly,,,2025-08-25,0.0000,0.0000,100.0000,drwish,87.3500,46479800,73.1100,100.0000,36.7800,7,True,22,2025-09-16,DrWish GLB
GOOG,weekly,,,2025-09-01,0.0000,0.0000,99.5800,drwish,235.1700,159452600,182.2300,236.1300,29.5800,12,True,15,2025-09-16,DrWish GLB
AFRM,weekly,,,2025-09-01,0.0000,0.0000,97.4800,drwish,87.3500,46479800,73.1100,93.2000,27.4800,8,True,15,2025-09-16,DrWish GLB
GOOGL,weekly,,,2025-08-25,0.0000,0.0000,88.6600,drwish,235.0000,249109600,180.8900,214.6500,18.6600,11,True,22,2025-09-16,DrWish GLB
GOOG,weekly,,,2025-08-25,0.0000,0.0000,88.1700,drwish,235.1700,159452600,182.2300,215.3400,18.1700,11,True,22,2025-09-16,DrWish GLB
GOOGL,weekly,,,2025-08-18,0.0000,0.0000,85.2800,drwish,235.0000,249109600,180.8900,208.5400,15.2800,10,True,29,2025-09-16,DrWish GLB
GOOG,weekly,,,2025-08-18,0.0000,0.0000,84.8200,drwish,235.1700,159452600,182.2300,209.2300,14.8200,10,True,29,2025-09-16,DrWish GLB
AVGO,weekly,,,2025-09-01,0.0000,0.0000,82.2900,drwish,334.8900,147778200,317.3500,356.3400,12.2900,3,True,15,2025-09-16,DrWish GLB
HPQ,weekly,,,2025-09-01,0.0000,0.0000,82.1100,drwish,29.3400,41768600,26.2700,29.4500,12.1100,9,True,15,2025-09-16,DrWish GLB
AZN,weekly,,,2025-09-01,0.0000,0.0000,80.0900,drwish,81.7000,12777800,74.8600,82.4100,10.0900,12,True,15,2025-09-16,DrWish GLB
HPQ,weekly,,,2025-08-23,0.0000,0.0000,80.0900,drwish,29.3400,41768600,26.2700,28.9200,10.0900,7,True,24,2025-09-16,DrWish GLB
HPQ,weekly,,,2025-08-25,0.0000,0.0000,80.0900,drwish,29.3400,41768600,26.2700,28.9200,10.0900,8,True,22,2025-09-16,DrWish GLB
AFRM,weekly,,,2025-08-18,0.0000,0.0000,79.9800,drwish,87.3500,46479800,73.1100,80.4100,9.9800,6,True,29,2025-09-16,DrWish GLB
PDD,weekly,,,2025-08-25,0.0000,0.0000,79.2300,drwish,124.6800,32280200,121.4900,132.7000,9.2300,5,True,22,2025-09-16,DrWish GLB
AZN,weekly,,,2025-08-18,0.0000,0.0000,78.9500,drwish,81.7000,12777800,74.8600,81.5600,8.9500,10,True,29,2025-09-16,DrWish GLB
ABBV,weekly,,,2025-08-19,0.0000,0.0000,78.5000,drwish,212.5600,16306000,195.8100,212.4500,8.5000,6,True,28,2025-09-16,DrWish GLB
AZN,weekly,,,2025-08-25,0.0000,0.0000,77.6300,drwish,81.7000,12777800,74.8600,80.5700,7.6300,11,True,22,2025-09-16,DrWish GLB
PDD,weekly,,,2025-08-18,0.0000,0.0000,76.1800,drwish,124.6800,32280200,121.4900,129.0000,6.1800,4,True,29,2025-09-16,DrWish GLB
IWM,weekly,,,2025-09-01,0.0000,0.0000,75.7200,drwish,237.7700,144216400,226.7100,239.6800,5.7200,6,True,15,2025-09-16,DrWish GLB
