ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
DAC,Danaos Corporation,1681009311.0,USD,Transportation,Marine shipping,NYSE,Buy,2025-11-10,2025-08-04,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
ESEA,Euroseas Ltd.,444429390.0,USD,Transportation,Marine shipping,NASDAQ,Strong buy,2025-11-20,2025-08-13,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
ZIM,ZIM Integrated Shipping Services Ltd.,1743020119.0,USD,Transportation,Marine shipping,NYSE,Sell,2025-11-12,2025-08-20,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
MATX,"Matson, Inc.",3330217460.0,USD,Transportation,Marine shipping,NYSE,Buy,2025-10-29,2025-07-31,"Russell 2000, Dow Jones Transportation Average, Russell 3000, Dow Jones Composite Average, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
STNG,Scorpio Tankers Inc.,2501328575.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-11-06,2025-07-30,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
GSL,Global Ship Lease Inc New,1060542865.0,USD,Transportation,Marine shipping,NYSE,Buy,2025-11-05,2025-08-05,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
NMM,Navios Maritime Partners LP,1377382749.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-11-06,2025-08-21,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
TNK,Teekay Tankers Ltd.,1638258566.0,USD,Transportation,Marine shipping,NYSE,Buy,2025-10-30,2025-07-30,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
KEX,Kirby Corporation,5483465738.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-10-23,2025-07-31,"Dow Jones Transportation Average, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
INSW,"International Seaways, Inc.",2178040035.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-11-11,2025-08-06,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
TEN,Tsakos Energy Navigation Ltd,650454965.0,USD,Transportation,Marine shipping,NYSE,Buy,2025-09-10,2025-06-17,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
TDW,Tidewater Inc.,2936875921.0,USD,Transportation,Marine shipping,NYSE,Neutral,2025-11-06,2025-08-04,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, PHLX Oil Service Sector",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
TRMD,TORM plc,1998885125.95792,USD,Transportation,Marine shipping,NASDAQ,Buy,2025-11-06,2025-08-14,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
CCEC,Capital Clean Energy Carriers Corp.,1277101533.0,USD,Transportation,Marine shipping,NASDAQ,Buy,2025-11-05,2025-07-31,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
CMRE,Costamare Inc.,1417944828.0,USD,Transportation,Marine shipping,NYSE,Neutral,2025-10-29,2025-07-31,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
ECO,Okeanis Eco Tankers Corp.,832551081.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-11-12,2025-08-12,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
PSHG,Performance Shipping Inc.,23496779.0,USD,Transportation,Marine shipping,NASDAQ,Strong buy,2025-11-05,2025-07-30,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
FLNG,FLEX LNG Ltd.,1421695001.0,USD,Transportation,Marine shipping,NYSE,Neutral,2025-11-28,2025-08-20,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
GASS,"StealthGas, Inc.",279928611.0,USD,Transportation,Marine shipping,NASDAQ,Strong buy,2025-12-02,2025-08-25,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
BWLP,BW LPG Limited,2280621687.47321,USD,Transportation,Marine shipping,NYSE,Buy,2025-12-02,2025-08-26,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
FRO,Frontline Plc,4474720260.0,USD,Transportation,Marine shipping,NYSE,Strong buy,2025-08-29,2025-05-23,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
DLNG,Dynagas LNG Partners LP,131146089.0,USD,Transportation,Marine shipping,NYSE,Neutral,2025-09-03,2025-05-27,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Marine shipping,ticker_universe_industry_Marine_shipping,simple_universe_generator,2026-02-11T13:08:09.662494
